Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
ANTHONY Jakara - AUS - World Cup 3 - 2019 - Final 2,ANTHONY Jakara - AUS,Women,22.0,AUS,16.0,16.8,16.0,17.2,15.8,7.7,7.9,1,1,1,0,-1.0,1.0,0.0,2019,2019-World Cup 3,Final 2,74.89,4
ANTHONY Jakara - AUS - World Cup 6 - 2019 - Final 2,ANTHONY Jakara - AUS,Women,22.0,AUS,17.3,16.7,16.1,17.6,17.4,8.5,8.1,1,1,1,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 2,79.87,2
KAUF Jaelin - USA - World Championships - 2019 - Final 1,KAUF Jaelin - USA,Women,24.0,USA,17.2,16.9,16.8,17.0,17.0,7.2,7.0,1,0,0,0,-1.0,-9.0,0.0,2019,2019-World Championships,Final 1,76.71,3
GERKEN SCHOFIELD Makayla - GBR - World Cup 2 - 2019 - Final 1,GERKEN SCHOFIELD Makayla - GBR,Women,21.0,GBR,14.0,14.5,15.0,14.8,13.5,4.4,4.0,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 1,29.63,14
GIACCIO Olivia - USA - World Cup 5 - 2019 - Final 1,GIACCIO Olivia - USA,Women,20.0,USA,15.0,14.1,14.7,15.2,14.8,6.5,8.1,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 1,70.22,9
GAGNON Sofiane - CAN - World Cup 5 - 2019 - Final 1,GAGNON Sofiane - CAN,Women,21.0,CAN,15.2,15.4,14.9,15.4,15.0,6.5,6.4,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 1,70.22,8
TOMITAKA Hinako - JPN - World Cup 3 - 2019 - Final 1,TOMITAKA Hinako - JPN,Women,20.0,JPN,15.5,14.8,15.3,15.0,15.8,8.0,8.0,0,0,0,0,-1.0,1.0,0.0,2019,2019-World Cup 3,Final 1,69.78,12
KAUF Jaelin - USA - World Cup 2 - 2019 - Final 2,KAUF Jaelin - USA,Women,24.0,USA,18.1,18.1,17.6,17.7,17.8,7.9,8.0,1,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 2,83.08,1
SOAR Hannah - USA - World Cup 6 - 2019 - Final 1,SOAR Hannah - USA,Women,21.0,USA,15.0,15.3,13.6,15.1,15.2,6.0,6.2,0,0,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,69.54,12
LAFFONT Perrine - FRA - World Cup 6 - 2019 - Final 2,LAFFONT Perrine - FRA,Women,22.0,FRA,17.0,17.1,17.8,17.2,17.7,8.0,8.1,1,1,1,1,0.0,0.0,0.0,2019,2019-World Cup 6,Final 2,82.97,1
